Epoch,GPU_mem,box_loss,cls_loss,dfl_loss,Instances,Size,Precision,Recall,mAP50,mAP50-95
1,0G,1.83,2.66,1.677,8,640,0.0214,0.477,0.158,0.0705
2,0G,1.811,1.88,1.607,26,640,0.289,0.362,0.249,0.117
3,0G,1.847,1.8,1.633,29,640,0.268,0.314,0.204,0.0792
4,0G,1.811,1.706,1.606,22,640,0.441,0.538,0.42,0.179
5,0G,1.848,1.661,1.612,22,640,0.605,0.481,0.514,0.226
6,0G,1.845,1.648,1.621,24,640,0.621,0.549,0.552,0.248
7,0G,1.803,1.614,1.611,16,640,0.579,0.532,0.509,0.232
8,0G,1.789,1.552,1.616,16,640,0.643,0.55,0.583,0.262
9,0G,1.797,1.553,1.592,50,640,0.655,0.547,0.566,0.26
10,0G,1.785,1.464,1.577,11,640,0.707,0.586,0.639,0.29
11,0G,1.741,1.468,1.592,42,640,0.752,0.601,0.676,0.313
12,0G,1.778,1.415,1.549,84,640,0.717,0.609,0.658,0.303
13,0G,1.752,1.366,1.574,11,640,0.703,0.613,0.642,0.308
14,0G,1.736,1.35,1.542,12,640,0.76,0.567,0.623,0.287
15,0G,1.725,1.317,1.523,49,640,0.683,0.637,0.656,0.288
16,0G,1.723,1.228,1.5,28,640,0.692,0.598,0.66,0.309
17,0G,1.707,1.268,1.522,30,640,0.72,0.594,0.671,0.315
18,0G,1.7,1.249,1.523,24,640,0.765,0.631,0.696,0.328
19,0G,1.672,1.228,1.531,24,640,0.709,0.607,0.643,0.297
20,0G,1.72,1.204,1.538,23,640,0.778,0.657,0.72,0.335
21,0G,1.709,1.24,1.544,21,640,0.791,0.603,0.697,0.332
22,0G,1.666,1.196,1.505,18,640,0.812,0.612,0.716,0.34
23,0G,1.699,1.13,1.489,9,640,0.586,0.563,0.553,0.252
24,0G,1.668,1.194,1.5,6,640,0.705,0.608,0.664,0.316
25,0G,1.725,1.117,1.517,19,640,0.748,0.597,0.681,0.323
26,0G,1.637,1.115,1.492,14,640,0.685,0.588,0.662,0.316
27,0G,1.656,1.121,1.469,12,640,0.721,0.609,0.683,0.33
28,0G,1.653,1.077,1.489,13,640,0.711,0.614,0.661,0.308
29,0G,1.669,1.12,1.486,25,640,0.762,0.667,0.73,0.345
30,0G,1.638,1.067,1.466,36,640,0.673,0.626,0.667,0.321
31,0G,1.616,1.077,1.491,11,640,0.787,0.63,0.723,0.339
32,0G,1.638,1.022,1.451,16,640,0.736,0.628,0.702,0.34
33,0G,1.587,0.9966,1.436,12,640,0.746,0.629,0.724,0.347
34,0G,1.64,1.024,1.465,22,640,0.772,0.643,0.743,0.352
35,0G,1.594,1.003,1.46,21,640,0.743,0.618,0.708,0.342
36,0G,1.607,1.037,1.452,4,640,0.689,0.618,0.664,0.323
37,0G,1.581,0.9726,1.427,15,640,0.773,0.661,0.742,0.357
38,0G,1.597,0.9988,1.432,9,640,0.747,0.633,0.7,0.34
39,0G,1.547,0.9425,1.41,18,640,0.712,0.614,0.662,0.321
40,0G,1.588,0.9872,1.425,104,640,0.763,0.651,0.732,0.357
41,0G,1.599,0.9439,1.492,8,640,0.749,0.58,0.679,0.334
42,0G,1.586,0.9383,1.502,9,640,0.792,0.624,0.73,0.346
43,0G,1.574,0.9247,1.465,37,640,0.823,0.631,0.736,0.357
44,0G,1.544,0.9166,1.439,6,640,0.789,0.635,0.737,0.353
45,0G,1.545,0.8758,1.451,14,640,0.791,0.624,0.73,0.353
46,0G,1.563,0.8612,1.447,10,640,0.8,0.649,0.747,0.359
47,0G,1.541,0.836,1.448,18,640,0.755,0.687,0.754,0.358
48,0G,1.546,0.8373,1.448,12,640,0.763,0.689,0.741,0.353
49,0G,1.51,0.8581,1.408,4,640,0.742,0.688,0.74,0.352
50,0G,1.531,0.8299,1.451,9,640,0.763,0.689,0.741,0.353
